Destination
Unawatuna Beach
Mirissa Beach
Weligama Beach
Hikkaduwa Beach
Dalawella Beach
Jungle Beach
Koggala Beach
Ahangama Beach
Matara Beach
Polhena Beach
Negombo Beach
Mount Lavinia Beach
Kalutara Beach
Bentota Beach
Beruwala Beach
Moragalla Beach
Wadduwa Beach
Panadura Beach
Uswetakeiyawa Beach
Ambalangoda Beach
Arugam Bay
Passikudah Beach
Nilaveli Beach
Uppuveli Beach
Marble Beach 
Kalkudah Beach
Kabalana Beach
Kallady Beach
Pigeon Point Beach
Trincomalee Beach
Jaffna Beach
Casuarina Beach 
Delft Island Beach
Mannar Beach
Silavathurai Beach
Kalpitiya Kite Beach
Kandakuliya Beach
Kudawa Beach
Uchchimuni Beach
Marawila Beach
Talalla Beach
Mawella Beach
Goyambokka Beach
Hiriketiya Beach
Secret Beach 
Dikwella Beach
Hummanaya Blow Hole
Kudiramalai Beach
Elephant Pass Lagoon Area
Puttalam Lagoon
Kokkilai Lagoon
Tangalle Lagoon
Negombo Lagoon
Rekawa Beach
Medilla Beach
Medaketiya Activity Beach
Okanda Beach
Red Frog Beach
Kirinda Beach
Dondra Beach
Adamâs Peak (Sri Pada)
Ella Rock
Little Adamâs Peak
Diyaluma  Falls 
Horton Plains National Park
World's End
Bambarakanda Falls 
Liptons Seat
Hakgala Botanical Garden
Single Tree Hill (Nuwara Eliya)
Pedro Tea Estate
Damro Tea Viewpoint
Mackwoods Tea Centre
Bluefield Tea Gardens
Labookellie Tea Lounge View
 Nine Arches Bridge
Ravana Ella Falls
Demodara Loop
Nil Diya Pokuna
Honey Bee Garden
Knuckles Mountain Range
Kabaragala Mountain
Riverstone Gap
Danigala Circular Rock
Ambuluwawa Tower
Bible Rock (Bathalegala)
Gombaniya Viewpoint
Moon Plains
Bomburu Ella Waterfall
Veheragala Mountain
Riverston
Belihuloya
Namunukula Trail View
Ohiya Gap View
Thotupola Kanda Nature Trail
Great Western Mountain
Piduruthalagala 
Udaweriya Tea Estate View
Kirigalpoththa Peak
Alawola Mountain View
Nildiyasevana Cave View Area
Knuckles Viewpoint (Deanston)
Dunhinda Falls
Balangoda Scenic Valley
Meemure Mountain Views
Namunukula Tea Trails
Diyathalawa Viewpoint
Horton Mini Trail View
Rakwana Hills Viewpoint
Nine Arches Bridge
